ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"43.231.192.105","elite","N/A","NZ","PrimoWireless Ltd","284","N/A","4145","socks4","1","100","997","1000","2025-04-08T12:48:04.071Z","4886"
"135.148.9.13","elite","AS16276","US","OVH SAS","88","OVH US LLC","25058","socks4","1","88","2362","2690","2025-04-08T12:48:04.166Z","977"
"144.217.237.180","elite","AS16276","CA","OVH Hosting","101","N/A","36331","socks4","1","100","1844","1845","2025-04-08T12:48:04.165Z","3524"
"136.144.237.16","elite","AS20857","NL","TransIP BV","14","N/A","5836","socks4","1","100","9432","9452","2025-04-08T12:48:04.065Z","415"
"27.75.99.238","elite","AS7552","VN","Newass2011xDSLHN","187","N/A","4002","socks4","1","97","217","224","2025-04-08T12:48:04.068Z","4584"
"188.124.15.13","elite","AS44565","TR","VITAL Customer Platform","74","N/A","3629","socks4","1","92","2540","2754","2025-04-08T12:48:04.066Z","3017"
"50.96.204.4","elite","AS7029","US","Windstream Communications LLC","159","Windstream Communications LLC","18351","socks4","1","100","2734","2742","2025-04-08T12:48:04.070Z","503"
"38.127.179.34","elite","AS174","US","Cogent Communications","83","Torlandia Trading SRL","11537","socks5","1","100","9385","9402","2025-04-08T12:48:04.164Z","686"
"38.150.15.100","elite","AS202662","CN","Hytron Network Services Limited","305","Hytron Network Services Limited","2053","socks4","1","93","955","1029","2025-04-08T12:48:04.067Z","4993"
"1.1.1.145","elite","AS13335","AU","Cloudflare, Inc","3","APNIC and Cloudflare DNS Resolver project","80","socks4","1","100","539","539","2025-04-08T12:48:04.063Z","3887"
"177.38.5.137","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","215","Pontocom Fibra Optica Ltda","4153","socks4","1","86","8096","9384","2025-04-08T12:48:04.064Z","3091"
"188.94.227.161","elite","AS196798","RU","Mifril+ LLC","64","NLT Sub8","8080","socks4","1","100","2663","2670","2025-04-08T12:48:04.165Z","2383"
"177.11.210.134","elite","AS262881","BR","Ariki Solucoes EM Tecnologia","193","Ariki Solucoes EM Tecnologia","1080","socks4","1","99","2062","2077","2025-04-08T12:48:04.063Z","323"
"43.157.50.53","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","7","Tencent Cloud Computing","443","socks5","1","24","2263","9392","2025-04-08T12:48:04.163Z","4894"
"103.112.234.97","elite","AS135185","IN","AtoZ InfoLink","149","Atoz Infolink Pvt. Ltd.","5678","socks4","1","99","2543","2557","2025-04-08T12:48:03.989Z","727"
"5.182.34.235","elite","AS209242","IT","Cloudflare London, LLC","7","N/A","80","socks4","1","100","2031","2033","2025-04-08T12:48:03.974Z","4312"
"192.230.67.116","elite","AS19551","US","Incapsula Inc","149","Incapsula Inc","5601","socks5","1","99","2610","2640","2025-04-08T12:48:03.984Z","4311"
"83.53.207.196","elite","AS3352","ES","Telefonica de Espana SAU","62","RIMA (Red IP Multi Acceso)","4145","socks4","1","99","9268","9393","2025-04-08T12:48:03.982Z","2188"
"45.12.31.177","elite","AS209242","GB","Cloudflare London, LLC","7","LIR Services","80","socks4","1","100","2730","2730","2025-04-08T12:48:03.995Z","3198"
"103.101.231.125","elite","AS17451","ID","Biznet Networks","167","PT Biznet Multi Media","5678","socks4","1","76","7180","9484","2025-04-08T12:48:03.979Z","2402"
"207.180.213.101","elite","AS51167","FR","Contabo GmbH","11","Contabo GmbH","7497","socks5","1","80","7536","9380","2025-04-08T12:48:03.990Z","4319"
"114.233.8.193","elite","AS4134","CN","Chinanet","261","Chinanet JS","38801","socks4","1","70","515","737","2025-04-08T12:48:03.997Z","5286"
"8.222.246.145","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","234","Alibaba.com Singapore E-Commerce Private Limited","15673","socks5","1","77","2099","2732","2025-04-08T12:48:03.975Z","3791"
"104.207.45.12","elite","AS200373","US","3xK Tech GmbH","94","3xK Tech GmbH","3128","socks4","1","100","1260","1266","2025-04-08T12:48:03.974Z","4483"
"57.129.31.47","elite","AS16276","DE","OVH SAS","8","OVH GmbH","80","socks4","1","90","2189","2422","2025-04-08T12:48:03.994Z","3197"
"104.35.140.42","elite","AS20001","US","Charter Communications","159","Spectrum","80","socks4","1","100","9307","9321","2025-04-08T12:48:03.991Z","4390"
"181.15.154.154","elite","AS7303","AR","Telecom Argentina S.A","249","Municipalidad De Posadas","52033","socks4","1","99","2738","2763","2025-04-08T12:48:03.976Z","4904"
"67.227.158.154","elite","AS32244","US","Liquid Web, L.L.C","105","SourceDNS","80","socks4","1","50","989","1996","2025-04-08T12:48:03.982Z","4499"
"185.208.172.27","elite","AS202269","DE","BitCommand LLC","16","BitCommand LLC","10204","socks4","1","77","7189","9390","2025-04-08T12:48:03.973Z","4381"
"119.46.2.244","elite","AS7470","TH","True Internet Corporation CO. Ltd.","201","True Internet Co., Ltd.","4145","socks4","1","96","2551","2648","2025-04-08T12:48:03.977Z","5007"
"45.144.30.205","elite","AS44477","RU","Stark Industries Solutions LTD","62","Stark Industries Solutions LTD","443","socks5","1","99","2723","2745","2025-04-08T12:48:03.980Z","4613"
"87.126.64.193","elite","AS8866","BG","BTC-BROADBAND","54","BTC Plc","4145","socks4","1","99","2228","2250","2025-04-08T12:48:03.988Z","464"
"95.65.73.200","elite","AS31252","MD","SC STARNET SRL","43","SC Starnet SRL","30552","socks4","1","100","905","905","2025-04-08T12:48:03.977Z","4479"
"43.153.140.207","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","254","Tencent Cloud Computing","20357","socks4","1","39","399","1034","2025-04-08T12:48:03.973Z","4986"
"172.67.181.103","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","socks5","1","100","9382","9384","2025-04-08T12:48:03.986Z","3510"
"112.193.121.104","elite","AS4837","CN","China Unicom CHINA169 Sichuan Province Network","207","N/A","24388","socks5","1","49","4538","9305","2025-04-08T12:48:03.981Z","4981"
"138.2.116.87","elite","AS31898","KR","Oracle Corporation","241","Oracle Cloud Infrastructure (ap-chuncheon-1)","65530","socks5","1","97","2666","2743","2025-04-08T12:48:03.989Z","3669"
